SERAIAH	西萊雅
ABSALOM	押沙龍
ADMATHA	押瑪他
AZGAD	押甲
ABDON	押頓
RADDAI	拉代
LAEL	拉伊勒
RADSARIS	拉伯撒利
RAD-SHAKEH	拉伯沙基
LADAN	拉但
LAISH	拉億
RAHAM	拉含
REU	拉吳
LAHAD	拉哈
LAHMI	拉哈米
LAADAH	拉大
RAPHU	拉孚
LAZARUS	拉撒路
RAMOTH	拉末
LAPIDOTH	拉比多
RAPHA	拉法
LABAN	拉班
RAAMAH	拉瑪
RAMIAH	拉米
RAAMIAH	拉米
RACHEL	拉結
LAMECH	拉麥
BAKBAKKAR	拔巴甲
BATH-SHUA	拔書亞
BATH-SHEBA	拔示巴
UARTUS	括土
SHIPHTAN	拾弗但
NABOTH	拿伯
NATHANAEL	拿但業
NAOMI	拿俄米
NABAL	拿八
NARCISSUS	拿其數
NAHAM	拿含
NAHATH	拿哈
NAHAMANI	拿哈瑪尼
NAHARI	拿哈萊
NATHAN	拿單
NATHAN-MELECH	拿單米勒
NETHANEEL	拿坦業
MNASON	拿孫
NAAM	拿安
NAPHTALI	拿弗他利
NAARAH	拿拉
NAHBI	拿比
NAAMAH	拿瑪
NADAB	拿答
NAARAI	拿萊
NAGGE	拿該
NAHASH	拿轄
NEPHUSIM	拿非施
NAHSHON	拿順
NAHUM	拿鴻
NAHOR	拿鶴
SAUL	掃羅
TYRANNUS	推喇奴
TYCHICUS	推基古
TILON	提倫
TEBAH	提八
TERESH	提列
TIRIA	提利
TITUS	提多
TEMAN	提幔
TIRAS	提拉
TIMOTHEUS	提摩太
TEHINNAH	提欣拿
TIBNI	提比尼
TIBERIUS	提比留
TEMA	提瑪
TEMENI	提米尼
TELEM	提聯
TIDAL	提達
TIMON	提門
THEOPHILUS	提阿非羅
TIGLATH-PILESER	提革拉毘列色
TIGLATH-PILNESER	提革拉毘尼色
NOAH	揶亞
NOADIAH	揶亞底
NOHAH	揶哈
NOBAH	揶巴
NOGAH	揶迦
NOAH	揶阿
MOLID	摩利
MOAB	摩押
MOZA	摩撒
MOSES	摩西
SALLAI	撒來
ZACCUR	撒刻
ZABDI	撒巴底
ZABDIEL	撒巴第業
ZACCUR	撒布
ZABUD	撒布得
ZABDI	撒底
SAPH	撒弗
SABTAH	撒弗他
SABTECHA	撒弗提迦
ZALMUNNA	撒慕拿
SARAH	撒拉
SHEALTIEL	撒拉鐵
ZABAD	撒拔
SAMUEL	撒母耳
SARGON	撒珥根
SHEMER	撒瑪
ZAAVAN	撒番
ZAPHNATH-PAANEAH	撒發那忒巴內亞
ZADOK	撒督
SHALMANESER	撒縵以色
ZAHAM	撒罕
SALOME	撒羅米
SARAI	撒萊
ZAZA	撒薩
SARSECHIM	撒西金
ZACCHAEUS	撒該
SALU	撒路
SALLU	撒路
ZACHER	撒迦
ZACHARIAH	撒迦利亞
ZACHARIAS	撒迦利亞
ZECHARIAH	撒迦利雅
ZALMON	撒門
SAPPHIRA	撒非喇
SHEAR-JASHUB	施亞雅述
SHIPHRAH	施弗拉
SHITRAI	施提賽
SHILSHAH	施沙
IBSARN	易伯散
LDDO	易多
PUL	普勒
PURAH	普拉
PHUVAH	普瓦
PUAH	普瓦
PUTIEL	普鐵
PUAH	普阿
AMPLIAS	暗伯利
OMRI	暗利
AMNON	暗嫩
AMRAPHEL	暗拉非
AMZI	暗洗
AMMIZABAD	暗米薩拔
AMRAM	暗蘭
AMZI	暗西
HOGLAH	曷拉
SHUAH	書亞
SHUAH	書亞
SUAH	書亞
SHUPHAM	書反
SHUPHAM	書含
SHUPPIM	書品
SHUNI	書尼
SHUBAEL	書巴業
SHUTHELA	書提拉
SHUPPIM	書聘
SHUAL	書阿勒
SHUAH	書雅
SHOHAM	朔含
SHOBAL	朔巴
SHOBAI	朔拜
SHOBI	朔比
SHOBACH OR SHOPHACH	朔法
SHOBEK	朔百
SHOBAB	朔罷
SHOMER	朔默
MAHLI	末力
MACHBONAI	末巴奈
MORDECAI	末底改
PONTIUS PILATE	本丟彼拉多
DODAI	朵代
DODO	朵多
RINNAH	林拿
SAMLAH	桑拉
SO	梭
SODI	梭底
SEORIM	梭琳
ZOHETH	梭黑
GOLIATH	歌利亞
CONANIAH	歌楠雅
GOMER	歌蔑
GOG	歌革
MUPPIM	母平
MUSHI	母示
BEALIAH	比亞利雅
BEDAN	比但
BERED	比列
BERI	比利
BEERl	比利
BERIAH	比利亞
BERECHIAH	比利家
BERECHIAH	比利迦
BEELIADA	比利雅大
PEKAH	比加
PEKAHlAH	比加轄
PELETH	比勒
BlLHAN	比勒罕
BlLDAD	比勒達
BICHRI	比基利
PEDAHZLUR	比大蓿
PEDAHEL	比大黑
PINON	比嫩
BENlNU	比尼努
BEDEIAH	比底雅
BEOR	比弭
BEZE	比悉
BESODEIAH	比所玳
BERA	比拉
BELA	比拉
BEERI	比拉
BERACHAH	比拉迦
BERAlAH	比拉雅
BEBAI	比拜
BENAIAH	比拿亞
BENAIAH	比拿雅
BENO	比挪
BlTHIAH	比提雅
BEZALEEL	比撒列
BRZAVlTH	比撒威
BlZTHA	比斯他
LBlSHLAM	比施蘭
BECHORATH	比歌拉
BIRSHA	比沙
BECHER	比結
BERODACH-BALADAN	比羅達巴拉但
BESAI	比賽
BEZAI	比賽
PERUDAORPERIDA	比路大
BADAD	比違
BlGTHA	比革他
PETHAHIAH	毘他希雅
PILEHA	毘利哈
PERESH	毘利施
PELET	毘力
PILTAI	毘勒太
PETHUEL	毘土珥
PEDAIAH	毘大雅
PENINNAH	毘尼拿
PENUEL	毘弩伊勒
PELALIAH	毘拉利
PELATIAH	毘拉提
PITHON	毘敦
PISPAH	毘斯巴
PEULIETHAI	毘烏利大
PELAIAH	毘萊雅
PIRAM	毘蘭
SHAAPH	沙亞弗
sheleph	沙列
SHAREZER	沙利色
SHALMAN	沙勒幔
SHAHARAIM	沙哈連
shage	沙基
