OGNTsort	OGNTa	RMAC
023850	ἀποκριθῇ	V-AOS-3S
023898	διηγήσωνται	V-ADS-3P
023999	ἠσπάζοντο	V-INI-3P
024009	ἀπεκρίθη	V-ADI-3S
024053	ἀποκριθεὶς	V-AOP-NSM
024063	ἔσομαι	V-FDI-1S
024066	ἀνέξομαι	V-FDI-1S
024125	δύνῃ	V-PNI-2S
024128	σπλαγχνισθεὶς	V-AOP-NSM
024138	δύνῃ	V-PNI-2S
024227	ἠδυνήθημεν	V-AOI-1P
024238	δύναται	V-PNI-3S
024246	παρεπορεύοντο	V-INI-3P
024288	ἐφοβοῦντο	V-INI-3P
024306	διελογίζεσθε	V-INI-2P
024313	διελέχθησαν	V-AOI-3P
024332	ἔσται	V-FDI-3S
024347	ἐναγκαλισάμενος	V-ADP-NSM
024357	δέξηται	V-ADS-3S
024363	δέχεται	V-PNI-3S
024368	δέχηται	V-PNS-3S
024371	δέχεται	V-PNI-3S
024414	δυνήσεται	V-FDI-3S
024466	περίκειται	V-PNI-3S
024601	ἔρχεται	V-PNI-3S
024612	συμπορεύονται	V-PNI-3P
024637	ἀποκριθεὶς	V-AOP-NSM
024642	ἐνετείλατο	V-ADI-3S
024694	ἔσονται	V-FDI-3P
024738	μοιχᾶται	V-PNI-3S
024750	μοιχᾶται	V-PNI-3S
024774	ἔρχεσθαι	V-PNN
024794	δέξηται	V-ADS-3S
024807	ἐναγκαλισάμενος	V-ADP-NSM
024816	ἐκπορευομένου	V-PNP-GSM
024944	εἰσελεύσονται	V-FDI-3P
024957	ἀποκριθεὶς	V-AOP-NSM
024996	δύναται	V-PNI-3S
025016	Ἤρξατο	V-ADI-3S
025084	ἐρχομένῳ	V-PNP-DSM
025089	ἔσονται	V-FDI-3P
025115	ἐφοβοῦντο	V-INI-3P
025121	ἤρξατο	V-ADI-3S
025170	προσπορεύονται	V-PNI-3P
025227	δύνασθε	V-PNI-2P
025245	Δυνάμεθα	V-PNI-1P
025256	πίεσθε	V-FDI-2P
025284	ἤρξαντο	V-ADI-3P
025291	προσκαλεσάμενος	V-ADP-NSM
025326	ἔσται	V-FDI-3S
025337	ἔσται	V-FDI-3S
025360	ἔρχονται	V-PNI-3P
025364	ἐκπορευομένου	V-PNP-GSM
025381	ἐκάθητο	V-INI-3S
025392	ἤρξατο	V-ADI-3S
025445	ἀποκριθεὶς	V-AOP-NSM
025513	εἰσπορευόμενοι	V-PNP-NPM
025630	ἐρχόμενος	V-PNP-NSM
025636	ἐρχομένη	V-PNP-NSF
025705	ἀποκριθεὶς	V-AOP-NSM
025723	ἔρχονται	V-PNI-3P
025731	ἤρξατο	V-ADI-3S
025799	ἐφοβοῦντο	V-INI-3P
025815	ἐξεπορεύοντο	V-INI-3P
025820	παραπορευόμενοι	V-PNP-NPM
025829	ἀναμνησθεὶς	V-AOP-NSM
025839	κατηράσω	V-ADI-2S
025842	ἀποκριθεὶς	V-AOP-NSM
025878	γίνεται	V-PNI-3S
025879	ἔσται	V-FDI-3S
025887	προσεύχεσθε	V-PNI-2P
025894	ἔσται	V-FDI-3S
025899	προσευχόμενοι	V-PNP-NPM
025921	ἔρχονται	V-PNI-3P
025931	ἔρχονται	V-PNI-3P
025970	ἀποκρίθητέ	V-AOM-2P
025990	ἀποκρίθητέ	V-AOM-2P
025993	διελογίζοντο	V-INI-3P
026012	ἐφοβοῦντο	V-INI-3P
026025	ἀποκριθέντες	V-AOP-NPM
026046	ἤρξατο	V-ADI-3S
026152	ἔσται	V-FDI-3S
026172	ἐλεύσεται	V-FDI-3S
026212	ἐφοβήθησαν	V-AOI-3P
